PLAYER_ID,RANK,PLAYER,TEAM_ID,TEAM,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,EFF,AST_TOV,STL_TOV
1642348,292,Justin Edwards,1610612755,PHI,32,777,101,226,0.447,44,127,0.346,19,27,0.704,31,66,97,45,26,10,29,73,265,281,1.55,0.9
1629674,292,Neemias Queta,1610612738,BOS,52,754,113,176,0.642,0,3,0.0,39,53,0.736,77,128,205,34,15,35,36,97,265,441,0.94,0.42
203482,294,Kelly Olynyk,1610612740,NOP,33,611,91,187,0.487,26,63,0.413,55,71,0.775,43,111,154,87,21,13,51,85,263,375,1.71,0.41
203935,294,Marcus Smart,1610612764,WAS,28,578,87,221,0.394,42,123,0.341,47,59,0.797,17,44,61,97,32,7,47,49,263,267,2.06,0.68
1642367,296,Jonathan Mogbo,1610612761,TOR,49,877,101,224,0.451,14,47,0.298,45,64,0.703,77,125,202,80,38,25,44,102,261,420,1.82,0.86
1642419,297,Jamison Battle,1610612761,TOR,44,622,92,208,0.442,63,155,0.406,12,14,0.857,28,69,97,34,6,8,16,55,259,270,2.13,0.38
1629637,298,Jaxson Hayes,1610612747,LAL,40,766,105,147,0.714,0,2,0.0,47,64,0.734,56,126,182,42,22,41,31,93,257,454,1.35,0.71
1630570,299,Trendon Watford,1610612751,BKN,29,529,92,208,0.442,17,57,0.298,55,69,0.797,23,76,99,64,19,7,48,64,256,267,1.33,0.4
201587,300,Nicolas Batum,1610612746,LAC,65,1176,84,205,0.41,70,172,0.407,15,18,0.833,42,141,183,75,44,31,28,93,253,434,2.68,1.57
1629004,300,Svi Mykhailiuk,1610612762,UTA,27,538,90,232,0.388,54,159,0.34,19,24,0.792,15,50,65,52,16,6,41,33,253,204,1.27,0.39
1642275,302,Tidjane Salaun,1610612766,CHA,48,915,81,254,0.319,44,152,0.289,46,64,0.719,56,146,202,52,26,12,44,58,252,309,1.18,0.59
1629731,303,Dean Wade,1610612739,CLE,46,994,88,218,0.404,61,179,0.341,13,25,0.52,43,169,212,65,34,17,18,85,250,418,3.61,1.89
1629234,303,Drew Eubanks,1610612746,LAC,49,673,103,174,0.592,3,6,0.5,41,63,0.651,51,144,195,49,11,35,35,55,250,412,1.4,0.31
1627732,305,Ben Simmons,1610612746,LAC,39,948,108,198,0.545,0,0,0.0,24,33,0.727,36,164,200,258,35,19,90,92,240,563,2.87,0.39
1630231,306,KJ Martin,1610612762,UTA,37,785,96,166,0.578,14,44,0.318,33,43,0.767,29,84,113,36,16,22,22,91,239,324,1.64,0.73
203937,307,Kyle Anderson,1610612748,MIA,48,699,93,210,0.443,21,57,0.368,31,45,0.689,41,108,149,104,30,24,26,57,238,388,4.0,1.15
1631133,308,Jabari Walker,1610612757,POR,50,591,89,176,0.506,23,60,0.383,34,52,0.654,48,127,175,32,28,6,24,73,235,347,1.33,1.17
1642366,308,Quinten Post,1610612744,GSW,28,456,86,189,0.455,48,115,0.417,15,19,0.789,28,82,110,41,12,14,23,58,235,282,1.78,0.52
1631207,310,Dalen Terry,1610612741,CHI,59,734,85,188,0.452,22,69,0.319,40,59,0.678,30,54,84,70,28,13,38,84,232,267,1.84,0.74
202692,311,Alec Burks,1610612748,MIA,36,638,72,177,0.407,54,129,0.419,31,41,0.756,13,84,97,41,22,6,16,26,229,264,2.56,1.38
1630171,312,Isaac Okoro,1610612739,CLE,40,773,83,187,0.444,41,109,0.376,21,31,0.677,36,56,92,55,23,15,18,79,228,281,3.06,1.28
1641724,312,Jett Howard,1610612753,ORL,55,618,82,230,0.357,49,166,0.295,15,20,0.75,20,45,65,41,13,10,27,57,228,177,1.52,0.48
